IBER,NIBER,PSNR,SSIM
0.0032,0.0069,25.011434,0.887069
0.0032,0.0084,24.072185,0.892334
0.0063,0.0069,24.179761,0.888808
0.0095,0.0082,23.202671,0.871812
0.0,0.0063,27.020048,0.918704
0.019,0.0068,22.108248,0.873845
0.0095,0.009,22.043251,0.855805
0.0,0.0081,25.49489,0.904627
0.0095,0.0077,22.605676,0.853522
0.0063,0.0082,21.973675,0.865476
0.0063,0.0076,23.632364,0.889425
0.0127,0.0081,23.776821,0.891361
0.0063,0.0084,24.190864,0.890151
0.0222,0.0085,23.522508,0.865206
0.0095,0.0076,22.985905,0.871637
0.0,0.0092,24.28243,0.883818
0.0032,0.0083,22.784642,0.872535
0.0127,0.0086,23.525739,0.874453
0.0127,0.0088,23.228473,0.87271
0.0063,0.0079,24.487679,0.890517
0.0063,0.0077,25.812164,0.902517
0.0032,0.008,24.250147,0.879542
0.0095,0.0081,21.979142,0.860979
0.0159,0.0083,19.328474,0.820435
0.0,0.0078,25.398686,0.899401
0.0,0.0087,26.230437,0.896715
0.0095,0.0079,22.580618,0.868644
0.0159,0.0074,23.040643,0.886945
0.0,0.0084,26.854642,0.909984
0.0063,0.0095,24.236607,0.873488
0.0063,0.0084,22.762359,0.865034
0.0063,0.01,24.198786,0.871776
0.0222,0.0085,22.895563,0.860158
0.0032,0.0097,22.93456,0.860212
0.0063,0.008,23.31472,0.876833
0.0127,0.0099,23.306201,0.863078
0.0032,0.0078,25.053891,0.888085
0.0063,0.0058,23.577136,0.897955
0.0095,0.0094,26.750151,0.894398
0.0095,0.0075,23.830288,0.887472
0.0095,0.0093,24.617558,0.889674
0.0063,0.0079,22.174194,0.878691
0.0159,0.0092,21.990503,0.859141
0.0063,0.0085,24.313948,0.881689
0.0127,0.0082,23.458134,0.868767
0.0095,0.0072,23.293734,0.878383
0.0159,0.0078,25.024491,0.885196
0.0063,0.0078,23.977671,0.880591
0.0159,0.0082,21.36861,0.84611
0.0127,0.008,23.832234,0.876379
0.0095,0.0076,24.751726,0.888399
0.0127,0.0092,22.42821,0.858904
0.0032,0.0088,26.308785,0.893561
0.0127,0.0081,23.756531,0.880748
0.0127,0.0089,24.148264,0.874705
0.0063,0.0082,25.883583,0.891579
0.0,0.0085,25.464193,0.895
0.019,0.0097,22.659021,0.864546
0.0127,0.009,20.08756,0.825998
0.0063,0.0091,23.888767,0.878733
0.0127,0.0095,22.54672,0.859951
0.0127,0.0067,24.408477,0.891936
0.0063,0.0089,21.595468,0.854856
0.0032,0.0106,22.631101,0.851853
0.0063,0.0093,23.112584,0.867106
0.0095,0.0096,24.119224,0.876915
0.0095,0.0099,23.424418,0.870917
0.0063,0.0099,24.885296,0.879337
0.0032,0.0081,25.347589,0.890637
0.0063,0.009,24.749942,0.879074
0.0063,0.0097,24.468134,0.883222
0.0095,0.0098,22.995559,0.861197
0.0,0.0098,25.721919,0.895062
0.0032,0.0085,24.456216,0.898449
0.0063,0.0088,24.637239,0.885949
0.0032,0.0099,23.735016,0.869674
0.0063,0.0083,24.550056,0.877042
0.0159,0.0085,21.824759,0.857932
0.0063,0.0087,23.991503,0.885554
0.0032,0.0077,24.142431,0.88942
0.0063,0.0098,24.074134,0.874594
0.0,0.0103,23.239011,0.861917
0.0317,0.0102,21.53182,0.839408
0.0095,0.0091,24.093007,0.874289
0.0063,0.0096,25.535214,0.883808
0.0159,0.01,21.805931,0.8493
0.0127,0.0097,23.615081,0.885091
0.0032,0.0095,24.580536,0.879832
0.0,0.01,25.384552,0.888118
0.0127,0.0093,24.005895,0.886027
0.0032,0.0094,25.111702,0.889761
0.0159,0.0112,20.902858,0.853365
0.0032,0.0092,23.305741,0.870291
0.0063,0.0121,25.237769,0.875486
0.0032,0.009,20.787724,0.856297
0.0222,0.0089,22.030773,0.839063
0.019,0.0099,21.89965,0.853341
0.0095,0.0109,23.795071,0.865239
0.0,0.0097,25.047644,0.886799
0.0127,0.01,23.141213,0.875801
0.0,0.0113,23.816749,0.871128
0.0095,0.0095,22.680127,0.882752
0.0095,0.0088,21.381022,0.860036
0.0095,0.0104,21.65237,0.842315
0.0095,0.0106,22.973678,0.861022
0.0095,0.0116,22.535934,0.85545
0.0063,0.0092,26.475271,0.895523
0.0063,0.0101,23.481285,0.871291
0.0159,0.0099,25.567813,0.875359
0.0095,0.012,21.838481,0.838173
0.0095,0.0111,23.927753,0.866224
0.0095,0.0099,22.082707,0.848046
0.019,0.0101,21.26543,0.832601
0.0127,0.0106,22.351381,0.854835
0.0159,0.0102,23.889426,0.861507
0.0095,0.0102,23.996522,0.872835
0.0095,0.0098,23.603187,0.871658
0.0063,0.0099,24.049098,0.875889
0.0063,0.0094,24.877791,0.887439
0.0095,0.0107,22.71423,0.856984
0.0127,0.0104,21.086592,0.827349
0.0127,0.01,22.973767,0.857923
0.0127,0.0113,23.751324,0.87093
0.0063,0.0121,23.423098,0.862981
0.0063,0.0106,23.725211,0.869035
0.019,0.0095,21.117455,0.835328
0.0159,0.0093,21.709652,0.858223
0.0159,0.0104,23.055821,0.867833
0.0127,0.0115,23.087779,0.861559
0.0095,0.0116,19.249584,0.842954
0.0032,0.0109,23.548846,0.858556
0.0286,0.0103,20.598189,0.826868
0.0063,0.0093,22.953644,0.870579
0.0127,0.009,23.376176,0.8647
0.0127,0.0112,23.223407,0.874629
0.019,0.012,22.399686,0.863158
0.019,0.0109,22.116215,0.8444
0.0095,0.0109,23.899414,0.868712
0.0095,0.0088,22.985873,0.87821
0.0063,0.0101,24.231024,0.882416
0.0095,0.0123,22.432482,0.848353
0.0032,0.012,23.522682,0.858235
0.0032,0.0104,25.437451,0.885849
0.0032,0.0119,23.795708,0.873735
0.0127,0.0129,22.514065,0.852715
0.0222,0.0123,22.238213,0.843077
0.0063,0.012,23.674501,0.870499
0.0032,0.0113,24.785969,0.871918
0.0095,0.011,24.094495,0.875134
0.0127,0.0119,21.946419,0.841887
0.0159,0.0112,22.004588,0.840806
0.0063,0.0107,22.786302,0.870585
0.0095,0.0105,24.546237,0.878885
0.0063,0.0109,23.888531,0.871687
0.0159,0.0089,22.282941,0.849636
0.0286,0.0106,22.514853,0.854068
0.0127,0.0102,23.653217,0.881698
0.0095,0.0119,23.443964,0.870696
0.0095,0.0115,23.343349,0.861869
0.0159,0.0124,22.48774,0.854983
0.019,0.0117,23.040112,0.850682
0.0032,0.0115,23.989759,0.878923
0.0127,0.013,22.614523,0.853452
0.0063,0.0126,22.90593,0.866827
0.0127,0.0126,20.951241,0.839706
0.0254,0.0143,21.994354,0.837872
0.0032,0.0132,24.272647,0.875615
0.0127,0.0098,23.652104,0.871387
0.0159,0.0105,22.878781,0.865114
0.0032,0.0107,22.778676,0.863759
0.0095,0.0126,23.885786,0.864761
0.0063,0.0122,22.153628,0.846876
0.0032,0.0122,23.497979,0.858933
0.0063,0.0117,25.76208,0.880219
0.0127,0.0122,22.302306,0.847193
0.0032,0.0134,23.165084,0.862168
0.0063,0.0112,23.429759,0.869929
0.0159,0.0129,20.75448,0.823288
0.0095,0.0113,21.261815,0.837512
0.0063,0.0131,23.620383,0.859193
0.0063,0.0115,25.045063,0.881742
0.0159,0.0126,21.406136,0.834601
0.0063,0.0123,24.297965,0.875131
0.0159,0.0136,23.810085,0.865791
0.0063,0.0144,22.439109,0.843451
0.0286,0.0113,20.895662,0.835333
0.0159,0.0124,23.04842,0.861991
0.0095,0.0126,22.876641,0.850772
0.0095,0.0137,22.755258,0.849243
0.0127,0.0131,22.987902,0.84538
0.0063,0.0137,24.009864,0.869932
0.019,0.0115,22.319208,0.852262
0.0063,0.0133,22.228428,0.851565
0.0254,0.0103,22.462428,0.855833
0.0063,0.0131,23.132541,0.87144
0.0127,0.0106,20.957504,0.834806
0.0127,0.0121,22.506003,0.84107
0.0063,0.0119,25.952407,0.877736
0.0095,0.0127,22.305729,0.847527
0.019,0.0122,22.429421,0.847482
0.0095,0.013,23.563749,0.863637
0.0159,0.0145,24.027929,0.873987
0.0286,0.0129,21.437673,0.835566
0.0159,0.0139,21.037424,0.83798
0.0159,0.0119,22.577223,0.853709
0.0222,0.0141,21.418695,0.833363
0.0127,0.0119,23.616751,0.85623
0.0286,0.0126,23.005949,0.856328
0.0127,0.0103,23.463893,0.863755
0.0286,0.0121,22.066535,0.844498
0.0127,0.0136,23.441595,0.863804
0.0063,0.012,23.528183,0.868339
0.0159,0.0117,22.898027,0.857161
0.0063,0.0126,19.736946,0.819839
0.0159,0.0141,21.673737,0.838299
0.0127,0.014,19.606009,0.808608
0.0127,0.0144,21.812269,0.838152
0.0159,0.0115,23.116996,0.852655
0.0063,0.0121,22.421614,0.844428
0.0127,0.0129,22.231816,0.843124
0.0095,0.0143,23.822905,0.855921
0.0159,0.0136,20.505989,0.829143
0.0095,0.0122,23.977596,0.867984
0.019,0.0133,21.683709,0.843485
0.0127,0.0111,21.366741,0.836287
0.0127,0.0123,23.173713,0.853661
0.019,0.012,22.879963,0.852937
0.0063,0.0113,22.736788,0.850071
0.0063,0.0139,22.007806,0.835719
0.0127,0.0135,22.029686,0.842873
0.0127,0.0138,23.720283,0.866516
0.0032,0.0127,24.84597,0.885855
0.0127,0.012,22.634631,0.855274
0.0222,0.0135,21.995596,0.83065
0.0127,0.0126,23.425577,0.85308
0.0381,0.0154,21.319902,0.830649
0.0095,0.0146,23.119651,0.851952
0.0095,0.0142,21.650133,0.855875
0.0127,0.0139,24.178418,0.867502
0.0222,0.014,21.53955,0.828257
0.019,0.0113,21.464172,0.835815
0.0127,0.0107,23.211064,0.865608
0.0127,0.0147,22.798603,0.856035
0.0222,0.0126,21.501827,0.830762
0.0159,0.0146,22.357067,0.855979
0.0222,0.0122,23.112506,0.863407
0.0063,0.0153,24.993841,0.872493
0.0063,0.0152,21.696506,0.841863
0.0127,0.0143,21.670953,0.833589
0.0095,0.0128,23.277524,0.862209
0.0159,0.0142,21.94745,0.831794
0.0127,0.0142,22.89563,0.853198
0.0127,0.0148,22.014558,0.841974
0.0032,0.014,24.771209,0.872841
0.0159,0.0143,22.659104,0.848803
0.0254,0.0142,21.891726,0.836375
0.0127,0.0125,25.132411,0.879881
0.0095,0.0138,23.6461,0.867416
0.0095,0.0156,22.885782,0.857283
0.0063,0.0106,24.978976,0.890691
0.0222,0.0144,22.57189,0.853568
0.019,0.0119,22.157343,0.850419
0.0222,0.0123,22.197068,0.853367
0.0159,0.0153,22.154624,0.838102
0.0127,0.0155,22.067196,0.838075
0.0095,0.0136,22.925496,0.854259
0.0254,0.0131,22.930533,0.852055
0.0254,0.0136,21.633894,0.831625
0.019,0.0145,23.144447,0.857678
0.0063,0.0145,23.358607,0.861739
0.0063,0.0138,22.787908,0.861091
0.0095,0.0134,19.537613,0.789694
0.0095,0.0133,22.487522,0.859385
0.019,0.0142,21.267123,0.824075
0.0159,0.0124,22.095394,0.851123
0.0095,0.0161,22.140521,0.840724
0.0095,0.0156,24.704013,0.85328
0.0032,0.0136,22.87108,0.856427
0.0095,0.0152,21.759832,0.836728
0.0222,0.0141,22.654123,0.849528
0.019,0.0138,18.938851,0.835896
